Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,MSAuthor,GitHubAuthor
Club MIE,https://docs.microsoft.com/en-us/learn/modules/club-mie/,7,28,218,70.00%,20,7,7,,0.376388889,1.613095238,20,5,2,,,minecraft;office-365,higher-ed-educator,beginner,abdewees,mec-sa
Cluster scalability on AKS with cluster autoscaler,https://docs.microsoft.com/en-us/learn/modules/aks-cluster-autoscaling/,4,133,392,60.87%,46,14,12,,4.573333333,4.157575758,19,5,1,,,azure;azure-kubernetes-service,solution-architect;developer;devops-engineer,beginner,ludossan,khaosdoctor
Code control statements in Python,https://docs.microsoft.com/en-us/learn/modules/intermediate-python-nasa/,9,712,"3,766",48.76%,404,98,100,,47.54916667,8.036478873,41,4.625,8,53,49,vs-code,student;data-scientist,beginner,chnoring,drguthals
Code-free transformation at scale with Azure Data Factory,https://docs.microsoft.com/en-us/learn/modules/code-free-transformation-scale/,10,"3,685","33,919",57.15%,"3,135",891,927,1,1065.514167,34.99225506,58,4.193548387,31,,,azure-data-factory;azure-synapse-analytics,data-engineer;data-scientist,beginner,chtestao,wwlpublish
Colaborar con compañeros a través de reuniones de Teams en vivo y OneNote,https://docs.microsoft.com/en-us/learn/modules/colaborar-con-teams-vivo-onenote/,11,,,,,,,,,,52,,,,,office-teams,k-12-educator;school-leader,beginner,abdewees,mec-sa
Collaborate faster using Microsoft Teams for higher education staff,https://docs.microsoft.com/en-us/learn/modules/collaborate-faster-microsoft-teams-higher-education-staff/,13,148,736,34.29%,70,12,14,,6.363888889,5.15990991,58,,,,,office-teams;office-onenote,k-12-educator,beginner,abdewees,mec-sa
Collaborate in teams and channels with Microsoft Teams,https://docs.microsoft.com/en-us/learn/modules/collaborate-teams-channels-microsoft-teams/,9,"2,352","16,967",61.40%,"1,750",536,535,1,184.8688889,9.448154458,43,4.804878049,82,,,m365;office-teams,business-analyst;business-owner;business-user;student,beginner,tishaha,wwlpublish
Collaborate with colleagues through live Teams meetings and OneNote,https://docs.microsoft.com/en-us/learn/modules/collaborate-colleagues-live-teams-meetings-onenote/,11,506,"4,702",76.16%,344,131,141,4,18.80694444,4.460144928,60,4.909090909,11,,,office-teams,k-12-educator;school-leader,beginner,abdewees,mec-sa
Collaborate with files and folders in SharePoint,https://docs.microsoft.com/en-us/learn/modules/m365-teams-sharepoint-file-collaboration/,7,"1,568","9,332",58.56%,"1,169",342,335,,161.1811111,12.351043,22,4.85,20,,,m365,administrator,intermediate,teleary,temanteleary
Collaborate with Git,https://docs.microsoft.com/en-us/learn/modules/collaborate-with-git/,7,"1,041","6,964",57.95%,745,215,224,,171.3302778,19.80696853,44,4.588235294,17,140,126,azure;github,developer;student,beginner,chnoring,softchris
Collaborate with pull requests in Azure Repos,https://docs.microsoft.com/en-us/learn/modules/collaborate-pull-requests-azure-repos/,6,2,2,NaN,0,0,2,,0,0,16,,,,,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,advanced,lumac,wwlpublish
Collect Input in Microsoft Teams with Task Modules,https://docs.microsoft.com/en-us/learn/modules/msteams-task-modules/,8,874,"5,176",46.76%,590,137,147,,92.83583333,12.80494253,72,5,3,,,m365;office-teams,developer,intermediate,suzanz,andrewconnell-msft
Combine external applications for more customized productions with Microsoft 365,https://docs.microsoft.com/en-us/learn/modules/m365-combine-external-applications-customized-productions/,6,76,294,66.67%,36,12,11,,5.669722222,8.952192982,36,,,,,office-teams;office-yammer,business-user;administrator,beginner,elizapo,lizap
Combine multiple tables with JOINs in T-SQL,https://docs.microsoft.com/en-us/learn/modules/query-multiple-tables-with-joins/,9,"2,882","22,197",60.99%,"2,266",688,798,1,397.9913889,16.60603848,62,4.753623188,69,,,azure-sql-database;sql-server;azure-sql-managed-instance;azure-sqlserver-vm;azure-sql-virtual-machines,data-analyst;data-engineer;data-scientist;database-administrator;developer;solution-architect;student;technology-manager,beginner,kadelane,wwlpublish
Combine Power Automate desktop and cloud flows,https://docs.microsoft.com/en-us/learn/modules/pad-powerautomate/,5,826,"2,952",37.74%,532,100,104,,57.94111111,8.43802589,42,5,1,,,power-automate;power-platform,maker;developer;functional-consultant,beginner,marleon,mariosleon
Combine query results with set operators,https://docs.microsoft.com/en-us/learn/modules/combine-query-results-set-operators/,7,398,"2,352",61.15%,280,85,94,,72.45194444,21.95513468,48,4.727272727,11,,,azure-sql-database;azure-sql-managed-instance;azure-sql-virtual-machines;azure-sqlserver-vm;sql-server,data-analyst;data-engineer;data-scientist;database-administrator;developer;solution-architect;student,advanced,rcaper,wwlpublish
Combine WinAutomation and Power Automate,https://docs.microsoft.com/en-us/learn/modules/winautomation-power-automate/,5,184,666,54.24%,118,32,35,,3.221111111,2.100724638,50,,,,,power-automate;power-platform,maker;developer;functional-consultant,beginner,marleon,mariosleon
Communicate between applications with Azure Queue storage,https://docs.microsoft.com/en-us/learn/modules/communicate-between-apps-with-azure-queue-storage/,9,"12,928","134,911",87.00%,"11,952","5,186","5,903",16,1595.495,14.85563315,52,4.738219895,191,"2,082","1,878",azure;azure-storage,developer;solution-architect,intermediate,chrvaw,cryophobia
Communicate effectively on GitHub by using Markdown,https://docs.microsoft.com/en-us/learn/modules/communicate-using-markdown/,5,"2,732","14,602",80.62%,"2,249",907,979,2,178.8577778,7.867644184,62,4.770833333,48,,,github;azure,devops-engineer;administrator;developer;solution-architect;student,beginner,thpetche,tpetchel
Communicate using message boxes in Power Automate for desktop flows,https://docs.microsoft.com/en-us/learn/modules/pad-message-boxes/,5,777,"2,998",42.75%,525,112,108,,43.20611111,6.681357388,32,5,8,,,power-platform;power-automate,maker;developer;functional-consultant,beginner,marleon,mariosleon
Communicate using message boxes in WinAutomation processes,https://docs.microsoft.com/en-us/learn/modules/message-boxes/,6,84,364,80.00%,50,20,21,,1.563055556,2.232936508,39,4,1,,,power-platform;power-automate,maker;developer;functional-consultant,beginner,marleon,mariosleon
Communicate with others strategically through mirroring and coaching,https://docs.microsoft.com/en-us/learn/modules/communicate-strategically-mirror-coach/,7,207,984,57.38%,122,35,39,,17.16166667,9.997087379,30,4,6,,,azure,developer;student,beginner,chnoring,interurban
Community collaboration for accessible design,https://docs.microsoft.com/en-us/learn/modules/community-collaboration/,6,96,564,65.52%,58,19,23,4,2.711388889,3.389236111,44,5,4,,,xbox,developer,beginner,kaitlynjones,kaitlynjones
Compare integrations in Finance and Operations apps with Dynamics AX 2012,https://docs.microsoft.com/en-us/learn/modules/compare-integration-ax-2012-finance-operations/,11,126,"1,134",54.55%,88,24,25,,20.81166667,19.82063492,108,,,,,dynamics-finance-operations;dynamics-scm;dynamics-finance,solution-architect;functional-consultant;administrator,intermediate,cstorega,cstorega
Compare reporting and analytics in Finance and Operations apps with Dynamics AX 2012,https://docs.microsoft.com/en-us/learn/modules/compare-analytics-ax-2012-finance-operations/,8,88,494,71.43%,56,20,21,,9.220833333,12.57386364,61,,,,,dynamics-finance-operations;dynamics-scm;dynamics-finance,solution-architect;functional-consultant;administrator,intermediate,cstorega,cstorega
Complete testing and performance checks in a Power Apps canvas app,https://docs.microsoft.com/en-us/learn/modules/testing-performance-checks-powerapps/,6,"1,364","7,306",57.88%,"1,082",312,304,,190.7208333,16.82830882,46,4.791666667,24,,,power-platform;power-apps,functional-consultant;maker,advanced,dbeasley,DaveBeasley
Complete the report request page in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/complete-report-request-page/,5,292,"1,344",51.11%,180,46,41,,26.28222222,10.80091324,35,5,1,,,dynamics-365;dynamics-business-central,developer,intermediate,kschimke,KevSch
Computational thinking and its importance in education,https://docs.microsoft.com/en-us/learn/modules/computational-thinking-importance-education/,6,122,"1,020",70.27%,74,26,25,,4.083333333,4.016393443,41,5,3,,,office-onenote,k-12-educator,beginner,abdewees,mec-sa
"Comunicação, gerenciamento de contatos e calendários: Microsoft Exchange",https://docs.microsoft.com/en-us/learn/modules/comunicacao-gerenciamento-de-contatos-microsoft-exchange/,14,,,,,,,,,,58,,,,,office-teams,k-12-educator;school-leader,beginner,abdewees,mec-sa
Comunicaciones en vivo con Microsoft Teams. Reuniones vs. Eventos en directo. Ciclo Webinars Teams 7/9,https://docs.microsoft.com/en-us/learn/modules/comunicaciones-en-vivo-con-teams/,15,4,70,100.00%,4,2,2,,0.051944444,1.558333333,65,5,2,,,office-teams,k-12-educator;school-leader,intermediate,abdewees,mec-sa
Conduct audit log investigations,https://docs.microsoft.com/en-us/learn/modules/conduct-audit-log-investigations/,9,239,"2,074",79.80%,199,79,85,,24.61222222,12.40952381,36,5,3,,,azure-active-directory;m365;office-365,administrator;security-engineer;solution-architect;technology-manager,intermediate,tfrink,wwlpublish
Configure 3D assets for mixed reality in Unity,https://docs.microsoft.com/en-us/learn/modules/configure-3d-assets-mixed-reality-unity/,8,325,"1,718",33.02%,213,35,33,,26.78805556,9.921502058,41,5,2,,,azure;azure-cloud-services;azure-cognitive-services;azure-digital-twins;azure-iot;azure-iot-hub;azure-signalr-service;azure-event-grid;azure-event-hubs;azure-functions;hololens;windows;windows-mixed-reality,developer;business-owner;student;technology-manager,beginner,jejacks,JBrentJ
Configure a call center channel in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/modules/configure-call-center-channel/,9,175,"1,150",31.43%,141,22,22,,13.93416667,9.609770115,74,,,,,dynamics-365;dynamics-commerce,functional-consultant,intermediate,cstorega,cstorega
Configure a JavaScript application to retrieve Microsoft 365 data by using Microsoft Graph,https://docs.microsoft.com/en-us/learn/modules/msgraph-javascript-app/,8,548,"3,032",46.37%,359,83,76,1,58.19944444,12.79108669,38,5,5,,,m365;ms-graph,developer,beginner,rwilliams,rabwill
Configure a retail store and POS in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/modules/configure-retail-store-pos/,15,519,"2,904",16.05%,327,26,24,,83.4875,19.41569767,155,5,3,,,dynamics-365;dynamics-commerce,functional-consultant;administrator,intermediate,cstorega,cstorega
Configure Accounts payable in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/configure-accounts-payable-dyn365-finance/,14,943,"8,432",18.64%,829,77,64,1,617.0377778,78.77078014,94,5,1,,,dynamics-365;dynamics-finance;dynamics-finance-operations,functional-consultant,intermediate,cstorega,cstorega
Configure accounts receivable in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/configure-accounts-receivable-dyn365-finance/,13,801,"5,932",21.81%,645,70,65,,180.9352778,27.20831245,110,4.666666667,3,,,dynamics-365;dynamics-finance;dynamics-finance-operations,functional-consultant,intermediate,cstorega,cstorega
Configure activity-based subcontracting and production flow costing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-subcontracting-flow-dyn365-supply-chain-mgmt/,23,156,"1,982",54.35%,92,25,28,,29.26638889,22.51260684,197,,,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant,advanced,cstorega,cstorega
Configure administrative roles in Microsoft 365,https://docs.microsoft.com/en-us/learn/modules/configure-administrative-roles-microsoft-365/,12,912,"8,638",54.80%,794,217,243,,229.0488889,30.20424908,53,4.909090909,11,,,azure-active-directory;m365;office-365,administrator;solution-architect;technology-manager,intermediate,tfrink,wwlpublish
Configure advanced scenarios in Microsoft Cloud App Security,https://docs.microsoft.com/en-us/learn/modules/advanced-scenarios-guidance/,8,116,580,65.63%,64,21,21,,6.0575,6.26637931,33,5,2,,,m365-ems-cloud-app-security,administrator,advanced,beccarobins,beccarobins
Configure and deploy Direct Routing,https://docs.microsoft.com/en-us/learn/modules/configure-deploy-direct-routing/,8,"3,565","43,571",90.87%,"3,385","1,533","1,921",2,298.295,10.06619798,54,4.818181818,77,,,m365;office-teams,administrator,advanced,dahans,wwlpublish
Configure and manage automation using Microsoft Defender for Endpoint,https://docs.microsoft.com/en-us/learn/modules/configure-manage-automation-microsoft-defender-for-endpoint/,7,"8,456","71,012",91.95%,"8,062","3,688","4,564",14,550.1733333,7.814962121,34,4.822222222,180,,,m365,security-operations-analyst,intermediate,bneeb,wwlpublish
Configure and manage Azure Monitor,https://docs.microsoft.com/en-us/learn/modules/azure-monitor/,10,"1,535","12,070",48.11%,"1,332",318,327,3,338.3869444,26.64464129,63,4.615384615,13,,,azure;azure-monitor,administrator;security-engineer,intermediate,roberts,wwlpublish
Configure and manage costs as a Microsoft partner by using Azure Cost Management,https://docs.microsoft.com/en-us/learn/modules/manage-costs-partner-cost-management/,8,598,"4,334",84.55%,466,197,206,,22.01305556,4.417335563,34,4.769230769,13,,,azure-cost-management;azure,administrator,beginner,banders,bandersmsft
Configure and manage Direct Routing with Microsoft Teams,https://docs.microsoft.com/en-us/learn/modules/m365-teams-configure-manage-direct-routing/,8,"2,969","35,225",87.95%,"2,722","1,190","1,496",,184.3947222,7.475461712,39,4.829787234,47,,,office-teams,administrator,intermediate,teleary,temanteleary
Configure and manage host security,https://docs.microsoft.com/en-us/learn/modules/host-security/,14,"1,439","17,911",61.10%,"1,247",377,401,,541.4202778,45.62530431,104,4.625,16,,,azure;azure-defender;azure-disk-encryption;azure-virtual-machines,administrator;security-engineer,intermediate,roberts,wwlpublish
Configure and manage Hyper-V,https://docs.microsoft.com/en-us/learn/modules/configure-manage-hyper-v/,9,"1,711","10,472",26.67%,"1,415",188,178,2,254.9872222,17.93579523,48,4.652173913,23,,,windows-server,administrator;solution-architect,intermediate,tonyj,wwlpublish
Configure and manage Hyper-V virtual machines,https://docs.microsoft.com/en-us/learn/modules/configure-manage-hyper-v-virtual-machines/,10,933,"6,518",46.43%,619,143,151,1,111.5644444,14.42643678,45,4.714285714,14,,,windows-server,administrator;solution-architect,intermediate,tonyj,wwlpublish
Configure and manage Microsoft Teams devices,https://docs.microsoft.com/en-us/learn/modules/configure-manage-microsoft-teams-devices/,11,"9,446","120,490",92.41%,"9,019","4,153","4,865",15,838.015,10.67081919,56,4.826666667,225,,,m365;office-teams,administrator,intermediate,jennyche,wwlpublish
Configure and manage secrets in Azure Key Vault,https://docs.microsoft.com/en-us/learn/modules/configure-and-manage-azure-key-vault/,6,"5,076","30,464",75.07%,"4,005","1,506","1,598",3,633.3072222,15.03697401,29,4.757575758,66,548,497,azure,administrator;security-engineer,beginner,adsteven,adrianstevens
Configure and manage SQL database security,https://docs.microsoft.com/en-us/learn/modules/sql-database-security/,14,987,"12,640",65.67%,873,285,305,1,311.9616667,38.19938776,99,4.533333333,15,,,azure;azure-sql-database;azure-sql-managed-instance,administrator;security-engineer,intermediate,roberts,wwlpublish
Configure and manage the order to cash process in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-manage-order-cash-dyn365-supply-chain-mgmt/,13,"1,179","8,034",13.88%,838,58,55,,328.7816667,33.54914966,203,4.5,2,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure and manage vendor collaboration in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-manage-vendor-collaboration-dyn365-supply-chain-mgmt/,16,674,"4,934",35.86%,397,71,66,,103.2027778,18.42906746,108,3.5,2,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure and manage voice users,https://docs.microsoft.com/en-us/learn/modules/configure-manage-voice-users/,6,"3,185","30,291",89.90%,"3,058","1,371","1,736",4,170.5980556,6.437662474,35,4.771929825,57,,,m365;office-teams,administrator,advanced,dahans,wwlpublish
Configure and monitor Azure Sentinel,https://docs.microsoft.com/en-us/learn/modules/azure-sentinel/,9,"1,225","9,978",62.60%,990,308,323,1,184.9994444,18.25652412,45,4.615384615,13,,,azure;azure-sentinel,administrator;security-engineer,intermediate,roberts,wwlpublish
Configure and perform periodic processes in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/configure-periodic-processes-dyn365-finance/,9,732,"5,464",32.01%,558,89,91,,198.5044444,32.63086758,142,4.5,6,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure and perform the procure-to-purchase process in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-perform-procure-purchase-dyn365-supply-chain-mgmt/,13,"1,459","9,324",15.47%,"1,069",82,71,,359.2525,29.73124138,117,3,1,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure and process postdated checks in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/configure-process-postdated-checks-dyn365-finance/,7,416,"2,226",28.87%,286,41,43,1,42.20305556,12.23276973,62,5,1,,,dynamics-365;dynamics-finance;dynamics-finance-operations,functional-consultant;business-user,advanced,cstorega,cstorega
Configure and provision environments,https://docs.microsoft.com/en-us/learn/modules/configure-provision-environments/,8,,,,,,,,,,23,,,,,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,advanced,lumac,wwlpublish
Configure and style Microsoft Graph Toolkit components by using attributes and CSS,https://docs.microsoft.com/en-us/learn/modules/msgraph-toolkit-customize-part-one/,6,148,514,64.71%,68,22,21,,4.989166667,4.04527027,20,5,2,,,m365;ms-graph,developer,beginner,aycabas,aycabas
Configure and troubleshoot Microsoft Teams clients and services,https://docs.microsoft.com/en-us/learn/modules/configure-troubleshoot-microsoft-teams-clients-services/,10,"9,054","102,845",92.55%,"8,716","4,025","4,726",8,627.3486111,8.329479236,63,4.884210526,190,,,m365;office-365,support-engineer,advanced,cyncarey,wwlpublish
Configure and use agreements in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-use-agreements-dyn365-supply-chain-mgmt/,13,834,"5,996",18.86%,596,56,56,,213.4813889,30.79058494,150,3.5,2,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure and use basic budgeting and budget control in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/configure-use-basic-budgeting-budget-control-dyn365-finance/,16,710,"5,916",15.25%,592,45,45,,131.9897222,22.37113936,167,5,1,,,dynamics-365;dynamics-finance;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure and use budget planning in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/configure-use-budget-planning-dyn365-finance/,5,381,"1,658",30.43%,277,42,43,,37.7925,11.93447368,40,4.333333333,3,,,dynamics-365;dynamics-finance;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure and use built-in master planning in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-use-master-planning-dyn365-supply-chain-mgmt/,14,"1,189","8,016",15.56%,787,61,53,,305.9530556,30.95646431,219,5,4,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure and use intercompany trade in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-use-intercompany-trade-dyn365-supply-chain-mgmt/,12,"1,358","7,330",13.47%,879,59,58,4,208.7647222,18.5568642,195,4,2,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure and use secret scanning in your GitHub repository,https://docs.microsoft.com/en-us/learn/modules/configure-use-secret-scanning-github-repository/,7,,,,,,,,,,28,,,,,github,administrator;devops-engineer;developer,intermediate,lucielenaour,lucie-docs
Configure and work with inventory management in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-inventory-management-dyn365-supply-chain-mgmt/,24,"2,585","25,209",23.03%,"1,790",205,151,4,874.9766667,40.82317263,310,4.375,8,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure and work with order fulfillment in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/modules/configure-work-order-fulfillment/,12,175,"1,108",41.07%,113,23,20,,26.37611111,18.19042146,118,4.666666667,3,,,dynamics-365;dynamics-commerce,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure and work with quality control and quality management in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/modules/configure-work-quality-control-dyn365-supply-chain-mgmt/,9,689,"3,722",31.96%,389,62,61,,122.9113889,21.43803295,126,4.333333333,3,,,dynamics-365;dynamics-scm;dynamics-finance-operations,functional-consultant;business-user,intermediate,cstorega,cstorega
Configure app service plans,https://docs.microsoft.com/en-us/learn/modules/configure-app-service-plans/,7,"24,178","204,604",91.89%,"23,113","10,644","12,416",18,1854.515,9.211167219,21,4.866791745,533,,,azure-app-service,administrator,intermediate,cynthist,wwlpublish
Configure application security features,https://docs.microsoft.com/en-us/learn/modules/application-security/,10,"1,200","10,966",62.90%,997,312,342,1,275.9433333,27.73299832,63,4.545454545,11,,,azure;azure-app-configuration;azure-app-service;ms-graph,administrator;security-engineer,intermediate,roberts,wwlpublish
Configure auto attendants and call queues,https://docs.microsoft.com/en-us/learn/modules/configure-auto-attendants-call-queues/,12,"3,678","63,111",88.79%,"3,507","1,553","1,953",3,322.0377778,10.52984559,55,4.846153846,91,,,m365;office-teams,administrator,advanced,dahans,wwlpublish
Configure automatic deployment for Azure SQL Database,https://docs.microsoft.com/en-us/learn/modules/configure-automatic-deployment-azure-sql-database/,7,"5,000","39,129",83.66%,"4,718","1,966","2,259",2,304.0566667,7.306127353,39,4.877358491,106,,,azure;azure-sql-database;sql-server,data-analyst;data-engineer;database-administrator,intermediate,kadelane,wwlpublish
Configure Azure Active Directory,https://docs.microsoft.com/en-us/learn/modules/configure-azure-active-directory/,9,"16,920","145,566",59.83%,"16,060","4,773","4,841",14,2788.630278,19.86203902,27,4.713261649,279,,,azure,administrator,intermediate,cynthist,wwlpublish
Configure Azure AD Application Proxy,https://docs.microsoft.com/en-us/learn/modules/configure-azure-ad-application-proxy/,7,482,"3,278",70.62%,388,137,155,,57.73416667,14.37365145,25,4.75,8,,,azure-active-directory;m365;office-365,administrator;solution-architect;technology-manager,intermediate,tfrink,wwlpublish
Configure Azure AD privileged identity management,https://docs.microsoft.com/en-us/learn/modules/azure-ad-privileged-identity-management/,11,"2,273","23,280",62.61%,"2,000",623,656,1,701.7961111,37.26351032,79,4.704545455,44,,,azure;azure-active-directory,administrator;security-engineer,intermediate,roberts,wwlpublish
Configure Azure alerts,https://docs.microsoft.com/en-us/learn/modules/configure-azure-alerts/,6,"4,481","32,275",87.85%,"4,271","1,880","2,044",5,301.1491667,8.08092576,18,4.733333333,60,,,azure-monitor,administrator,intermediate,cynthist,wwlpublish
Configure Azure App Services,https://docs.microsoft.com/en-us/learn/modules/configure-azure-app-services/,12,"24,394","324,065",90.50%,"23,233","10,532","12,291",17,2880.168056,14.17521806,36,4.828185328,518,,,azure-app-service-web,administrator,intermediate,cynthist,wwlpublish
Configure Azure Application Gateway,https://docs.microsoft.com/en-us/learn/modules/configure-azure-application-gateway/,6,"21,143","156,277",93.16%,"20,433","9,496","11,123",8,1303.863889,7.412529215,18,4.835955056,445,,,azure-vpn-gateway,administrator,intermediate,cynthist,wwlpublish
Configure Azure Container Instances,https://docs.microsoft.com/en-us/learn/modules/configure-azure-container-instances/,7,"23,835","199,261",92.31%,"22,770","10,515","12,240",24,1999.314444,10.07803635,21,4.805068226,513,,,azure-container-instances,administrator,intermediate,cynthist,wwlpublish
Configure Azure Cosmos DB SQL API database and containers,https://docs.microsoft.com/en-us/learn/modules/configure-azure-cosmos-db-sql-api/,9,50,458,89.47%,38,17,19,1,2.6,6.24,36,,,,,azure-cosmos-db,developer,intermediate,calopez,wwlpublish
Configure Azure DNS,https://docs.microsoft.com/en-us/learn/modules/configure-azure-dns/,10,"22,451","251,592",91.63%,"21,387","9,772","11,366",19,2045.3775,10.96031526,30,4.808791209,455,,,azure-dns,administrator,intermediate,cynthist,wwlpublish
Configure Azure files and Azure File Sync,https://docs.microsoft.com/en-us/learn/modules/configure-azure-files-file-sync/,9,"35,840","377,715",87.74%,"33,343","14,595","17,139",43,4925.395278,16.51800999,27,4.774827925,"1,017",,,azure-files,administrator,intermediate,cynthist,wwlpublish
Configure Azure Firewall,https://docs.microsoft.com/en-us/learn/modules/configure-azure-firewall/,6,"22,207","165,027",92.18%,"21,415","9,823","11,496",13,1495.440556,8.110497454,18,4.837719298,456,,,azure-firewall,administrator,intermediate,cynthist,wwlpublish
Configure Azure Kubernetes Service,https://docs.microsoft.com/en-us/learn/modules/configure-azure-kubernetes-service/,9,"24,291","251,519",89.68%,"23,135","10,393","12,133",17,2911.430278,14.40113905,27,4.815261044,498,,,azure-kubernetes-service,administrator,intermediate,cynthist,wwlpublish
Configure Azure Load Balancer,https://docs.microsoft.com/en-us/learn/modules/configure-azure-load-balancer/,11,"21,505","267,688",92.57%,"20,560","9,480","11,072",15,1629.2175,9.106013041,33,4.831381733,427,,,azure-load-balancer,administrator,intermediate,cynthist,wwlpublish
Configure Azure Monitor,https://docs.microsoft.com/en-us/learn/modules/configure-azure-monitor/,9,"5,009","48,478",82.66%,"4,685","1,940","2,102",4,479.2669444,11.51622614,27,4.753846154,65,,,azure-monitor,administrator,intermediate,cynthist,wwlpublish
Configure Azure policy,https://docs.microsoft.com/en-us/learn/modules/configure-azure-policy/,10,"9,632","107,161",82.56%,"8,949","3,674","4,030",11,1224.7625,15.31910569,30,4.759162304,191,,,azure,administrator,intermediate,cynthist,wwlpublish
Configure Azure resources with tools,https://docs.microsoft.com/en-us/learn/modules/configure-azure-resources-tools/,7,"35,437","266,833",51.13%,"34,559","8,835","8,719",29,3918.767778,13.32234499,21,4.752265861,662,,,azure,administrator,beginner,cynthist,wwlpublish
Configure Azure Synapse Link with Azure Cosmos DB,https://docs.microsoft.com/en-us/learn/modules/configure-azure-synapse-link-with-azure-cosmos-db/,8,"1,314","11,022",71.10%,"1,130",401,420,1,164.9997222,15.09143801,45,4.428571429,7,,,azure-cosmos-db;azure-synapse-analytics,data-engineer,intermediate,chtestao,wwlpublish
Configure bins on the location card in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/configure-bins-location/,5,128,700,65.31%,98,32,31,1,13.00388889,12.19114583,17,,,,,dynamics-365;dynamics-business-central,functional-consultant;business-user,intermediate,kschimke,KevSch
Configure BitLocker disk encryption for Windows IaaS Virtual Machines,https://docs.microsoft.com/en-us/learn/modules/configure-bitlocker-disk-encryption-windows-iaas-virtual-machines/,8,"6,014","57,869",91.00%,"5,597","2,548","3,275",2,450.0602778,8.989219929,35,4.844827586,116,,,azure;azure-cloud-shell;azure-portal;azure-virtual-machines,administrator;solution-architect;technology-manager,intermediate,tonyj,wwlpublish
Configure blob storage,https://docs.microsoft.com/en-us/learn/modules/configure-blob-storage/,10,"42,464","468,385",84.85%,"37,830","15,994","18,724",67,5744.936111,16.29615009,30,4.810252996,"1,502",,,azure-blob-storage,administrator,intermediate,cynthist,wwlpublish
Configure bookable resources in Dynamics 365 Field Service,https://docs.microsoft.com/en-us/learn/modules/configure-bookable-resources-urs-dynamics-field-service/,8,513,"2,816",25.48%,419,53,47,1,106.6822222,25.10169935,64,,,,,dynamics-365;dynamics-field-service,functional-consultant,intermediate,dbeasley,DaveBeasley
