Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
Improve your reliability with modern operations practices,https://docs.microsoft.com/en-us/learn/paths/improve-reliability-modern-operations/,6,760,"9,217",33.99%,153,52,54,2180,28.70730263,639,170,learn.improve-reliability-modern-operations,administrator;devops-engineer;solution-architect;technology-manager,azure,beginner,dnb,dnblankedelman
Manage security operations in Azure,https://docs.microsoft.com/en-us/learn/paths/manage-security-operations/,8,"43,545","422,759",33.94%,"1,915",650,699,2180,25.26542236,"8,451",360,learn.security.manage-security-operations,administrator;security-engineer,azure;azure-policy;azure-key-vault;azure-active-directory;azure-api-management,beginner;intermediate,adsteven,adrianstevens
Implement advanced logic in WinAutomation,https://docs.microsoft.com/en-us/learn/paths/implement-logic-winautomation/,6,232,"1,431",33.90%,59,20,21,2180,5.308908046,161,219,learn-bizapps.implement-logic-winautomation,administrator;maker;business-user;developer;functional-consultant,power-platform;power-automate,intermediate,dbeasley,DaveBeasley
Microsoft Azure Data Fundamentals: Explore modern data warehouse analytics in Azure,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-data-warehouse-analytics/,3,"107,569","484,667",33.75%,"7,233","2,441","2,419",2180,12.39459634,"6,365",126,learn.wwl.azure-data-fundamentals-explore-data-warehouse-analytics,administrator;business-user;data-engineer,azure,beginner,rcaper,wwlpublish
"Microsoft Security, Compliance, and Identity Fundamentals: Describe the capabilities of Microsoft compliance solutions",https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-compliance-solutions/,5,"7,595","135,400",33.60%,"3,845","1,292","1,409",2180,34.10432302,"1,676",147,learn.wwl.describe-capabilities-of-microsoft-compliance-solutions,business-user;student,azure;m365,beginner,ceperezb,wwlpublish
Configure storage and file services,https://docs.microsoft.com/en-us/learn/paths/configure-storage-file-services/,6,"5,102","58,567",33.33%,159,53,54,2180,17.35267542,43,342,learn.wwl.configure-storage-file-services,administrator;solution-architect;technology-manager,windows-server,intermediate,tonyj,wwlpublish
Get started with Dynamics 365 Customer Service scheduling,https://docs.microsoft.com/en-us/learn/paths/get-started-customer-scheduling/,2,178,998,33.33%,42,14,15,2180,18.61395131,3,101,learn-dynamics.get-started-customer-scheduling,functional-consultant;business-user,dynamics-365;dynamics-customer-service,intermediate,kschimke,KevSch
Migrating Cassandra and MongoDB workloads to Cosmos DB,https://docs.microsoft.com/en-us/learn/paths/migrate-cassandra-mongo-db-workloads-to-cosmos-db/,3,252,"2,111",32.61%,138,45,45,2180,17.36031746,461,148,learn.wwl.migrating-cassandra-mongo-db-workloads-cosmos-db,data-engineer,azure-cosmos-db,intermediate,rcaper,wwlpublish
Manage basic fixed assets transactions in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/manage-fixed-assets-transactions/,3,280,"2,109",32.58%,89,29,31,2180,16.09095238,139,99,learn-dynamics.manage-fixed-assets-transactions,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Extract text from images and documents,https://docs.microsoft.com/en-us/learn/paths/extract-text-from-images-documents/,2,"1,522","15,473",32.57%,"1,274",415,451,2180,11.72907359,339,91,learn.wwl.extract-text-from-images-documents,ai-engineer;data-scientist;student,azure-form-recognizer,intermediate,sheryang,wwlpublish
Azure Fundamentals part 4: Describe general security and network security features (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-general-security-network-security-features/,2,"53,848","608,126",32.41%,"40,283","13,054","14,775",2180,30.91411628,"28,655",59,learn.az-900-describe-general-security-network-security-features,administrator;developer;business-analyst;business-user;solution-architect,azure,beginner,rknapp,Randall-Knapp
Demonstrate fundamental knowledge of Microsoft 365 security and compliance capabilities,https://docs.microsoft.com/en-us/learn/paths/m365-security-compliance-capabilities/,8,"31,128","428,981",32.40%,"5,990","1,941","1,730",2180,29.01492011,"5,930",197,learn.wwl.m365-security-compliance-capabilities,business-owner;business-user,m365,beginner,ceperezb,wwlpublish
Process and translate text with Azure Cognitive Services,https://docs.microsoft.com/en-us/learn/paths/process-translate-text-azure-cognitive-services/,2,"1,671","18,259",32.34%,"1,438",465,510,2180,16.03169759,198,108,learn.wwl.process-translate-text-azure-cognitive-services,ai-engineer;developer,azure-cognitive-services,intermediate,gmalc,wwlpublish
Microsoft Azure AI Fundamentals: Explore natural language processing,https://docs.microsoft.com/en-us/learn/paths/explore-natural-language-processing/,4,"7,001","81,990",32.30%,"5,332","1,722","1,899",2180,23.5092701,"6,401",133,learn.wwl.explore-natural-language-processing,ai-engineer;data-scientist;developer;solution-architect;student,azure-cognitive-services;azure-language-understanding;azure-portal,beginner,gerryo,wwlpublish
Introduction to Azure database administration,https://docs.microsoft.com/en-us/learn/paths/introduction-to-azure-database-administration/,1,75,428,32.14%,56,18,22,2180,8.976666667,14,34,learn.wwl.introduction-to-azure-database-administration,data-analyst;data-engineer;database-administrator,azure-sql-database;azure-sql-managed-instance;azure-sql-virtual-machines,intermediate,jupadrao,wwlpublish
"Microsoft Security, Compliance, and Identity Fundamentals: Describe the capabilities of Microsoft Identity and access management solutions",https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-identity-access/,4,"6,427","114,985",31.43%,"5,317","1,671","1,830",2180,44.35,"1,856",88,learn.wwl.describe-capabilities-of-microsoft-identity-access-management-solutions,business-user;student,azure-active-directory,beginner,ceperezb,wwlpublish
"Azure Fundamentals part 5: Describe identity, governance, privacy, and compliance features (AZ-900)",https://docs.microsoft.com/en-us/learn/paths/az-900-describe-identity-governance-privacy-compliance-features/,3,"47,192","709,378",31.28%,"36,987","11,569","13,007",2180,39.66729283,"27,618",92,learn.az-900-describe-identity-governance-privacy-compliance-features,administrator;data-engineer;developer;devops-engineer;business-analyst;business-user;solution-architect,azure;azure-active-directory;azure-policy;azure-blueprints;azure-rbac,beginner,rknapp,Randall-Knapp
Integrate Power Automate flows and Dataverse,https://docs.microsoft.com/en-us/learn/paths/integrate-dataverse-power-automate/,2,287,"1,689",30.95%,168,52,57,2180,8.291986063,148,23,learn-bizapps.integrate-dataverse-power-automate,maker;developer,power-platform;power-automate;common-data-service,intermediate,dbeasley,DaveBeasley
AZ-204: Implement API Management,https://docs.microsoft.com/en-us/learn/paths/az-204-implement-api-management/,1,683,"4,562",30.74%,514,158,184,2180,17.74306979,71,37,learn.wwl.az-204-implement-api-management,developer,azure-api-management,intermediate,jeffko,wwlpublish
OneNote teacher academy,https://docs.microsoft.com/en-us/learn/paths/onenote-teacher-academy/,4,630,"4,693",30.56%,108,33,34,2180,8.720687831,49,253,learn.mec.onenote-teacher-academy,k-12-educator;school-leader,office-onenote,intermediate,abdewees,mec-sa
Upgrade Microsoft Office for IT at scale,https://docs.microsoft.com/en-us/learn/paths/m365-office-for-it/,4,333,"1,885",30.08%,123,37,39,2180,6.523173173,"1,342",106,learn-m365-office.m365-office-for-it,administrator,m365;office;office-365,intermediate,teleary,AlexandraHrt
Create computer vision solutions with Azure Cognitive Services,https://docs.microsoft.com/en-us/learn/paths/create-computer-vision-solutions-azure-cognitive-services/,5,"1,901","29,677",30.02%,"1,266",380,421,2180,18.19799228,177,267,learn.wwl.create-computer-vision-solutions-azure-cognitive-services,ai-engineer;developer,azure-cognitive-services;azure-computer-vision;azure-custom-vision;azure-face;azure-video-indexer,intermediate,gmalc,wwlpublish
SC-200: Perform threat hunting in Microsoft Sentinel,https://docs.microsoft.com/en-us/learn/paths/sc-200-perform-threat-hunting-azure-sentinel/,3,"1,479","13,010",29.84%,972,290,363,2180,13.41212531,629,116,learn.wwl.sc-200-perform-threat-hunting-azure-sentinel,security-operations-analyst,azure;azure-sentinel,intermediate,bneeb,wwlpublish
Education Transformation Framework,https://docs.microsoft.com/en-us/learn/paths/education-transformation-framework/,4,183,"1,614",29.58%,71,21,22,2180,12.98078324,18,231,learn.mec.education-transformation-framework,k-12-educator;school-leader,office-teams,beginner,abdewees,mec-sa
Detect threats and protect information in cloud apps using Microsoft Cloud App Security,https://docs.microsoft.com/en-us/learn/paths/m365-cloud-app-security-intermediate/,3,118,"1,167",29.23%,65,19,20,2180,35.20437853,161,117,learn-m365.m365-cloud-app-security-intermediate,administrator,m365;m365-ems-cloud-app-security,intermediate,beccarobins,lizap
Introduction to AI technology for business leaders,https://docs.microsoft.com/en-us/learn/paths/ai-technology-for-business-leaders/,2,"1,753","12,238",29.17%,521,152,168,2180,10.69774672,"2,576",91,learn.ai-technology-for-business-leaders,functional-consultant;business-user,azure;dynamics-365;m365,beginner,rawortma,RWortmanMorris
MS-500 part 4: Manage Governance and Compliance Features in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/manage-governance-compliance-features-microsoft-365/,10,"5,670","79,000",29.13%,"1,006",293,326,2180,17.66756908,233,458,learn.wwl.manage-governance-compliance-features-microsoft-365,administrator;security-engineer;technology-manager,office-365,intermediate,hrasheed,wwlpublish
Secure cloud apps using Microsoft Cloud App Security,https://docs.microsoft.com/en-us/learn/paths/m365-cloud-app-security-fundamentals/,6,514,"5,253",28.67%,150,43,48,2180,12.60064851,225,174,learn-m365.m365-cloud-app-security,administrator,m365;m365-ems-cloud-app-security,beginner,beccarobins,lizap
Provision and manage Azure Cognitive Services,https://docs.microsoft.com/en-us/learn/paths/provision-manage-azure-cognitive-services/,4,"2,199","34,088",28.62%,"1,894",542,591,2180,25.84937093,542,185,learn.wwl.provision-manage-azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,azure-cognitive-services,intermediate,gmalc,wwlpublish
AZ-204: Develop event-based solutions,https://docs.microsoft.com/en-us/learn/paths/az-204-develop-event-based-solutions/,2,451,"4,291",28.40%,331,94,108,2180,25.45535846,55,54,learn.wwl.az-204-develop-event-based-solutions,developer,azure-event-grid;azure-event-hubs,intermediate,jeffko,wwlpublish
Build data analytics solutions using Azure Synapse serverless SQL pools,https://docs.microsoft.com/en-us/learn/paths/build-data-analytics-solutions-using-azure-synapse-serverless-sql-pools/,6,"1,302","15,377",28.20%,539,152,159,2180,21.49761905,384,164,learn.wwl.build-data-analytics-solutions-using-azure-synapse-serverless-sql-pools,data-engineer,azure-synapse-analytics,intermediate,chtestao,wwlpublish
Create fixed assets in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/create-fixed-assets/,3,199,"1,577",28.00%,100,28,30,2180,14.35293132,142,83,learn-dynamics.create-fixed-assets,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Manage fixed asset maintenance and insurances in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/manage-fixed-assets-maintenance-insurances/,4,145,"1,281",27.94%,68,19,19,2180,8.927241379,108,112,learn-dynamics.manage-fixed-assets-maintenance-insurances,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Manage content search and investigations in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/manage-content-search-investigations-microsoft-365/,3,816,"7,533",27.91%,258,72,81,2180,13.17726716,140,112,learn.wwl.manage-content-search-investigations-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
Architect infrastructure operations in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-infrastructure-operations/,5,"35,827","411,555",27.80%,"1,860",517,531,2180,33.86844093,"9,378",240,learn.architect-infrastructure-operations,solution-architect,azure;azure-monitor;azure-cost-management;azure-resource-manager;azure-policy,intermediate,jaboes,jboeshart
Safely return to school and the workplace using solutions,https://docs.microsoft.com/en-us/learn/paths/return-work-school/,2,181,811,27.78%,90,25,28,2180,7.091528545,64,42,learn-bizapps.return-work-school,maker;business-user,power-platform;power-automate;industry-solutions;return-to-school;return-to-workplace,beginner,dbeasley,DaveBeasley
<learning path title,https://docs.microsoft.com/en-us/learn/paths/integrate-azure-synapse-analytics-azure-data-ai-services/,2,605,"4,311",27.30%,293,80,83,2180,11.33495868,416,106,learn.wwl.integrate-azure-synapse-analytics-azure-data-ai-services,data-analyst;data-engineer;data-scientist,azure-machine-learning;power-bi;azure-synapse-analytics,intermediate,chtestao,wwlpublish
Bring AI to your business with AI Builder,https://docs.microsoft.com/en-us/learn/paths/bring-ai/,2,"3,974","21,762",27.07%,"1,799",487,526,2180,10.76611726,"2,199",47,learn-bizapps.bring-ai,maker;business-user,ai-builder,beginner,robde,heyrob
Automate your workflow with GitHub Actions,https://docs.microsoft.com/en-us/learn/paths/automate-workflow-github-actions/,6,"8,752","67,216",26.83%,"1,774",476,525,2180,14.1182663,"2,343",313,learn.automate-workflow-github-actions,devops-engineer;administrator;developer;solution-architect,github;azure,beginner;intermediate,thpetche,tpetchel
Set up jobs and resources in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/set-up-jobs-resources/,6,276,"2,949",26.79%,112,30,31,2180,20.43001208,173,138,learn-dynamics.set-up-jobs-resources,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Manage warehouse processes in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/manage-warehouse-processes/,3,253,"2,137",26.72%,131,35,36,2180,21.78326746,97,98,learn-dynamics.manage-warehouse-processes,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Explore the foundations of IaaS for SAP on Azure,https://docs.microsoft.com/en-us/learn/paths/explore-foundations-of-iaas/,4,77,"2,119",26.67%,45,12,14,2180,18.90281385,14,294,learn.wwl.explore-foundations-of-iaas,administrator;solution-architect,azure,advanced,eric,wwlpublish
Microsoft Azure Data Fundamentals: Explore non-relational data in Azure,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-non-relational-data/,3,"8,803","126,214",26.66%,"7,172","1,912","2,101",2180,53.06740694,"5,448",144,learn.wwl.azure-data-fundamentals-explore-non-relational-data,administrator;business-user;data-engineer;student,azure,beginner,rcaper,wwlpublish
Microsoft Azure Data Fundamentals: Explore relational data in Azure,https://docs.microsoft.com/en-us/learn/paths/azure-data-fundamentals-explore-relational-data/,3,"11,645","170,225",26.63%,"8,702","2,317","2,548",2180,49.20435666,"6,421",87,learn.wwl.azure-data-fundamentals-explore-relational-data,administrator;business-user;data-engineer;student,azure,beginner,rcaper,wwlpublish
Work with Hybrid Transactional and Analytical Processing Solutions using Azure Synapse Analytics,https://docs.microsoft.com/en-us/learn/paths/work-with-hybrid-transactional-analytical-processing-solutions/,4,"1,923","27,273",26.43%,"1,377",364,394,2180,32.0175767,735,146,learn.wwl.work-with-hybrid-transactional-analytical-processing-solutions,data-engineer,azure-synapse-analytics,intermediate,chtestao,wwlpublish
Manage product version information in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/paths/manage-product-version-engineering-change-management/,3,133,"1,249",26.32%,38,10,11,2180,17.74223058,35,227,learn-dynamics.manage-product-version-engineering-change-management,functional-consultant;business-user,dynamics-365;dynamics-scm;dynamics-finance-operations,intermediate,cstorega,cstorega
Manage cloud resources,https://docs.microsoft.com/en-us/learn/paths/cmu-manage-cloud-resources/,3,"1,399","7,829",26.13%,199,52,55,2180,21.54839171,"1,511",151,learn.cmu-cloud-admin.cmu-manage-cloud-resources,administrator;student,azure,beginner,chnoring,softchris
Set up warehouse tasks in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/set-up-warehouse-tasks/,4,155,"1,754",26.03%,73,19,16,2180,24.96731183,149,224,learn-dynamics.set-up-warehouse-tasks,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Implement advanced logic in Power Automate for desktop,https://docs.microsoft.com/en-us/learn/paths/pad-implement-advanced-logic/,5,"2,120","10,262",25.87%,375,97,83,2180,8.982413522,407,140,learn-bizapps.pad-implement-advanced-logic,maker;developer;functional-consultant,power-platform;power-automate,intermediate,marleon,mariosleon
Reclassify fixed assets in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/reclassify-fixed-assets/,2,127,838,25.71%,70,18,18,2180,11.00498688,123,57,learn-dynamics.reclassify-fixed-assets,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Microsoft Dynamics 365 Fundamentals (CRM): Explore Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/paths/learn-fundamentals-microsoft-dynamics-365-project-operations-crm/,5,"7,241","89,408",25.50%,"1,494",381,403,2180,34.88279013,945,185,learn.wwl.learn-fundamentals-microsoft-dynamics-365-project-operations-crm,business-owner;business-user;functional-consultant;student,dynamics-365;dynamics-project-operations,beginner,ceabrams,wwlpublish
Configure and manage virtual networks for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/azure-administrator-manage-virtual-networks/,16,"29,974","614,375",25.47%,"1,021",260,265,2180,37.57940548,922,897,learn.azure-admin-manage-virtual-networks,administrator,azure;azure-virtual-machines;azure-virtual-network;azure-dns;azure-vpn-gateway;azure-expressroute;azure-application-gateway;azure-load-balancer;azure-cdn;azure-traffic-manager;azure-bastion;azure-firewall;azure-virtual-desktop,beginner,cwatson,cwatson-cat
Receive and put-away items in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/receive-put-away-items-whse/,3,117,"1,066",25.00%,64,16,17,2180,17.93746439,77,101,learn-dynamics.receive-put-away-items-whse,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Microsoft Dynamics 365 Fundamentals (CRM): Explore Dynamics 365 Field Service,https://docs.microsoft.com/en-us/learn/paths/learn-fundamentals-microsoft-dynamics-365-field-service/,6,"7,031","89,357",24.83%,"1,494",371,394,2180,35.72437301,668,234,learn.wwl.learn-fundamentals-microsoft-dynamics-365-field-service,business-owner;business-user;functional-consultant;student,dynamics-365;dynamics-field-service,beginner,ceabrams,wwlpublish
Build expertise with WinAutomation,https://docs.microsoft.com/en-us/learn/paths/advanced-winautomation/,7,343,"2,237",24.55%,110,27,30,2180,5.736297376,213,217,learn-bizapps.advanced-winautomation,administrator;maker;business-user;developer;functional-consultant,power-platform;power-automate,advanced,dbeasley,DaveBeasley
Deploy a website with Azure virtual machines,https://docs.microsoft.com/en-us/learn/paths/deploy-a-website-with-azure-virtual-machines/,4,"44,922","362,625",24.45%,"6,609","1,616","1,786",2180,14.49625647,"7,053",246,learn.deploy-a-website-with-azure-virtual-machines,developer,azure;azure-virtual-machines;azure-portal;azure-cloud-shell,beginner,adsteven,adrianstevens
"Microsoft Security, Compliance, and Identity Fundamentals: Describe the concepts of security, compliance, and identity",https://docs.microsoft.com/en-us/learn/paths/describe-concepts-of-security-compliance-identity/,2,"16,552","173,784",24.37%,"11,264","2,745","2,990",2180,26.70303387,"3,737",45,learn.wwl.describe-concepts-of-security-compliance-identity,business-user;student,azure;m365,beginner,ceperezb,wwlpublish
Manage advanced fixed assets transactions in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/manage-advanced-fixed-assets-transactions/,5,195,"1,162",24.19%,62,15,13,2180,7.403760684,114,165,learn-dynamics.manage-advanced-fixed-assets-transactions,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
"Create relationships, business rules, calculations, and rollups in Microsoft Dataverse",https://docs.microsoft.com/en-us/learn/paths/create-relationships-common-data-service/,3,"1,812","15,595",24.15%,"1,085",262,286,2180,20.26284952,"1,662",141,learn-dynamics.create-relationships-business-rules-calculations-and-rollups-in-common-data-service,functional-consultant,dynamics-365;power-platform;common-data-service;power-apps,intermediate,kschimke,KevSch
Architect secure infrastructure in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-secure-infrastructure/,8,"12,626","142,929",24.10%,415,100,113,2180,21.9903704,"2,838",397,learn.architect-secure-infrastructure,solution-architect,azure;azure-virtual-machines;azure-resource-manager;azure-application-gateway;azure-key-vault;azure-sql-database,intermediate,jaboes,jboeshart
Pick and ship items in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/pick-ship-items-business-central/,3,114,"1,065",24.10%,83,20,20,2180,20.68084795,77,85,learn-dynamics.pick-ship-items-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Monitor and back up resources for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/azure-administrator-monitor-backup-resources/,9,"11,041","147,999",23.97%,292,70,64,2180,34.23086224,618,435,learn.azure-admin-monitor-backup-resources,administrator,azure;azure-virtual-machines;azure-monitor;azure-application-insights;azure-backup;azure-site-recovery,beginner,cwatson,cwatson-cat
Get started using Microsoft Dataverse,https://docs.microsoft.com/en-us/learn/paths/get-started-cds/,7,"31,112","376,265",23.84%,"7,958","1,897","1,767",2180,30.73413313,"5,521",325,learn-dynamics.get-started-using-common-data-service,functional-consultant,dynamics-365;power-platform;common-data-service;power-apps,beginner,kschimke,KevSch
Get started with Microsoft Viva Topics,https://docs.microsoft.com/en-us/learn/paths/m365-viva-topics/,5,"1,648","18,874",23.83%,"1,129",269,285,2180,15.45554207,319,114,learn-m365-pr.viva-topics,administrator,m365,beginner,teleary,lizap
Azure Fundamentals part 3: Describe core solutions and management tools on Azure (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-core-solutions-management-tools-azure/,6,"64,072","1,384,423",23.73%,"55,824","13,245","14,733",2180,43.51693511,"34,505",140,learn.az-900-describe-core-solutions-management-tools-azure,administrator;developer;business-owner;student;technology-manager,azure;azure-cognitive-services;azure-machine-learning;azure-bot-service;azure-devops;azure-advisor;azure-monitor;azure-service-health;azure-portal;azure-clis;azure-resource-manager;azure-functions;azure-logic-apps;azure;azure-iot-hub;azure-iot-central,beginner,rknapp,Randall-Knapp
Best practices for Azure migration and modernization,https://docs.microsoft.com/en-us/learn/paths/best-practices-azure-migration/,3,835,"4,428",23.68%,76,18,21,2180,15.95159681,12,245,learn.best-practices-azure-migration,administrator;developer;solution-architect;auditor;business-analyst;business-owner;functional-consultant;privacy-manager;risk-practitioner;security-engineer;solution-architect;student;technology-manager,azure;azure-migrate,intermediate,jumcn,jamcneil
Prepare for AI engineering,https://docs.microsoft.com/en-us/learn/paths/prepare-for-ai-engineering/,1,"3,499","26,796",23.64%,"3,308",782,889,2180,14.74740878,529,31,learn.wwl.prepare-for-ai-engineering,ai-engineer;developer,azure,intermediate,gmalc,wwlpublish
Microsoft Azure AI Fundamentals: Get started with artificial intelligence,https://docs.microsoft.com/en-us/learn/paths/get-started-with-artificial-intelligence-on-azure/,1,"23,607","182,127",23.62%,"18,956","4,478","5,109",2180,15.97601841,"15,624",34,learn.wwl.get-started-with-artificial-intelligence-on-azure,ai-engineer;data-scientist;developer;student,azure-bot-service;azure-cognitive-services;azure-machine-learning,beginner,gmalc,wwlpublish
Discover ways to foster an AI-ready culture in your business,https://docs.microsoft.com/en-us/learn/paths/foster-ai-ready-culture/,5,"1,517","12,747",23.48%,528,124,132,2180,12.54552846,"1,157",202,learn.foster-an-ai-ready-culture-in-business,functional-consultant;business-user,azure;dynamics-365;m365,intermediate,rawortma,RWortmanMorris
Microsoft Dynamics 365 Fundamentals (ERP): Explore Dynamics 365 Human Resources,https://docs.microsoft.com/en-us/learn/paths/learn-fundamentals-microsoft-dynamics-365-human-resources/,3,"3,270","39,645",23.45%,870,204,212,2180,49.17584608,374,105,learn.wwl.learn-fundamentals-microsoft-dynamics-365-human-resources,business-owner;business-user;functional-consultant;student,dynamics-365;dynamics-human-resources,beginner,ceabrams,wwlpublish
Return items in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/return-items-dynamics-365-business-central/,3,446,"4,079",23.37%,291,68,74,2180,18.96008969,592,85,learn-dynamics.return-items-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Protect against?malicious?threats with Microsoft Defender for Office 365,https://docs.microsoft.com/en-us/learn/paths/defender-office-365-malicious-threats/,3,299,"1,802",23.31%,163,38,43,2180,11.95317726,176,92,learn-m365.defender-office-365-malicious-threats,administrator;security-operations-analyst;security-engineer,m365;mdatp,beginner,beccarobins,alistairmatthews
Cloud administration basics,https://docs.microsoft.com/en-us/learn/paths/cmu-admin/,7,"2,812","19,970",23.23%,198,46,52,2180,24.98028687,212,397,learn.cmu-cloud-admin.cloud-admin,administrator;student,azure,beginner,chnoring,softchris
Implement Mobile Device Management in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/implement-mobile-device-management-microsoft-365/,4,928,"9,531",23.08%,390,90,98,2180,19.61284124,185,126,learn.wwl.implement-mobile-device-management-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
Create conversational AI solutions,https://docs.microsoft.com/en-us/learn/paths/create-conversational-ai-solutions/,2,"2,267","18,928",23.04%,"1,840",424,466,2180,19.26537274,707,124,learn.wwl.create-conversational-ai-solutions,ai-engineer;developer,azure;azure-bot-service;azure-cognitive-services;azure-language-understanding;azure-sdks,intermediate,gerryo,wwlpublish
Use the UI and controls in a canvas app in Power Apps,https://docs.microsoft.com/en-us/learn/paths/ui-controls-canvas-app-powerapps/,4,"3,441","31,038",22.90%,"1,502",344,373,2180,21.01762085,"2,775",178,learn-bizapps.ui-controls-canvas-app-powerapps,functional-consultant;maker,power-platform;power-apps,intermediate,kschimke,KevSch
Automate a business process using Power Automate,https://docs.microsoft.com/en-us/learn/paths/automate-process-power-automate/,7,"44,980","365,181",22.89%,"16,953","3,880","3,735",2180,16.74217208,"11,398",297,learn-bizapps.automate-process-using-flow,business-user;functional-consultant;maker;administrator,power-platform;power-automate,beginner,kschimke,KevSch
Microsoft Azure AI Fundamentals: Explore computer vision,https://docs.microsoft.com/en-us/learn/paths/explore-computer-vision-microsoft-azure/,6,"10,964","154,047",22.75%,"8,537","1,942","1,964",2180,25.73010458,"6,487",179,learn.wwl.explore-computer-vision-microsoft-azure,ai-engineer;data-scientist;developer;solution-architect;student,azure-cognitive-services,beginner,gmalc,wwlpublish
Secure your cloud data in Azure,https://docs.microsoft.com/en-us/learn/paths/secure-your-cloud-data/,7,"47,391","483,213",22.73%,"4,677","1,063","1,144",2180,26.83999388,"10,034",287,learn.secure-your-cloud-data,developer;administrator,azure;azure-key-vault;azure-storage;azure-cosmos-db;azure-synapse-analytics;azure-sql-database,beginner;intermediate,adsteven,adrianstevens
Explore SAP HANA on Azure (Large Instances),https://docs.microsoft.com/en-us/learn/paths/explore-sap-hana-azure-large-instances/,9,116,"1,776",22.64%,53,12,14,2180,14.12701149,14,310,learn.wwl.explore-sap-hana-azure-large-instances,administrator;solution-architect,azure,advanced,eric,wwlpublish
Microsoft Dynamics 365 Fundamentals (ERP): Explore Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/paths/explore-microsoft-dynamics-365-project-operations-erp/,3,"3,202","39,769",22.64%,773,175,179,2180,51.8623933,468,158,learn.wwl.explore-microsoft-dynamics-365-project-operations-erp,business-owner;business-user;functional-consultant;student,dynamics-365,beginner,ceabrams,wwlpublish
Set up fixed assets management in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/set-up-fixed-assets-management/,6,232,"2,120",22.58%,93,21,21,2180,14.4487069,158,152,learn-dynamics.set-up-fixed-assets-management,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
