*Time stamp		count-src,src-ip		count-dest,dest-ip		count-anyport-src,ip		count-anyport-dest,ip
1998-06-2409:49:27	1	"172.016.112.194"	1	"195.073.151.050"	7	"172.016.112.149"	1	"199.104.078.003"
1998-06-2420:52:51	1	"172.016.117.103"	1	"207.018.199.006"	1	"172.016.117.103"	1	"207.018.199.006"
1998-06-2500:20:03	1	"172.016.116.194"	1	"146.137.096.068"	1	"172.016.116.194"	1	"146.137.096.068"
1998-06-2418:20:03	1	"172.016.116.044"	2	"192.168.001.010"	2	"172.016.116.044"	2	"192.168.001.010"
1998-06-2420:32:01	1	"172.016.117.103"	1	"134.205.165.120"	1	"172.016.117.103"	1	"134.205.165.120"
1998-06-2418:56:43	1	"192.168.001.020"	3	"192.168.001.020"	3	"192.168.001.020"	3	"192.168.001.020"
1998-06-2414:48:01	2	"197.218.177.069"	2	"131.084.001.034"	4	"172.016.117.132"	2	"204.096.116.009"
1998-06-2415:21:47	1	"172.016.113.204"	1	"208.134.246.201"	4	"172.016.113.204"	2	"172.016.112.194"
1998-06-2416:43:04	2	"172.016.116.044"	9	"192.168.001.010"	9	"172.016.116.044"	9	"192.168.001.010"
1998-06-2414:24:50	1	"172.016.117.111"	3	"209.061.101.125"	5	"195.115.218.108"	3	"209.061.101.125"
1998-06-2413:42:53	1	"172.016.115.005"	3	"192.096.145.004"	4	"172.016.114.169"	3	"192.096.145.004"
1998-06-2414:56:01	18	"197.218.177.069"	3	"192.168.001.010"	20	"197.218.177.069"	19	"172.016.112.207"
1998-06-2411:59:48	1	"196.037.075.158"	3	"203.018.051.047"	3	"172.016.114.169"	3	"203.018.051.047"
1998-06-2413:48:56	1	"197.218.177.069"	4	"207.077.090.013"	4	"172.016.117.052"	4	"207.077.090.013"
1998-06-2413:25:34	1	"135.013.216.191"	2	"197.182.091.233"	12	"135.008.060.182"	3	"172.016.113.105"
1998-06-2409:50:38	1	"172.016.113.204"	2	"209.043.240.171"	2	"172.016.113.204"	2	"209.043.240.171"
1998-06-2410:06:03	1	"172.016.117.103"	1	"209.001.224.012"	1	"172.016.117.103"	1	"209.001.224.012"
1998-06-2410:14:22	15	"172.016.114.148"	3	"205.216.163.092"	15	"172.016.114.148"	15	"196.037.075.158"
1998-06-2408:28:43	1	"172.016.113.204"	27	"206.132.025.071"	31	"172.016.113.204"	27	"206.132.025.071"
1998-06-2408:58:53	6	"197.218.177.069"	4	"134.205.165.120"	6	"197.218.177.069"	6	"172.016.112.207"
1998-06-2409:29:23	1	"197.182.091.233"	2	"172.016.114.168"	3	"197.182.091.233"	2	"172.016.114.207"
1998-06-2417:00:52	2	"172.016.116.044"	6	"192.168.001.010"	6	"172.016.116.044"	6	"192.168.001.010"
1998-06-2423:56:54	1	"172.016.116.194"	2	"207.121.190.172"	3	"172.016.116.194"	2	"209.049.066.074"
1998-06-2415:13:24	1	"172.016.115.005"	1	"172.016.112.194"	2	"172.016.115.005"	1	"209.003.101.030"
1998-06-2414:03:17	1	"172.016.117.132"	2	"207.121.191.072"	7	"172.016.117.132"	2	"207.121.191.072"
1998-06-2416:17:12	2	"172.016.116.044"	14	"192.168.001.010"	14	"172.016.116.044"	14	"192.168.001.010"
1998-06-2411:40:17	1	"172.016.115.005"	2	"204.177.061.002"	4	"172.016.114.169"	2	"204.177.061.002"
1998-06-2412:42:38	1	"172.016.114.168"	3	"130.219.034.100"	4	"172.016.115.087"	3	"130.219.034.100"
1998-06-2414:40:15	1	"172.016.117.132"	2	"205.214.059.221"	2	"172.016.117.052"	2	"205.214.059.221"
1998-06-2408:31:40	1	"172.016.115.234"	27	"206.132.025.071"	29	"172.016.113.204"	27	"206.132.025.071"
1998-06-2409:28:19	1	"172.016.114.169"	2	"209.166.168.020"	2	"172.016.114.169"	2	"209.166.168.020"
1998-06-2409:31:13	2	"172.016.112.020"	4	"192.168.001.010"	4	"197.182.091.233"	4	"192.168.001.010"
1998-06-2417:01:17	2	"172.016.116.044"	4	"192.168.001.010"	4	"172.016.116.044"	4	"192.168.001.010"
1998-06-2418:03:31	4	"192.168.001.010"	7	"192.168.001.010"	7	"172.016.116.044"	7	"192.168.001.010"
1998-06-2500:29:57	1	"172.016.116.194"	1	"195.073.151.050"	2	"172.016.113.204"	2	"195.073.151.050"
1998-06-2414:52:02	1	"172.016.117.132"	2	"209.185.102.232"	3	"172.016.113.105"	2	"209.185.102.232"
1998-06-2415:05:38	1	"196.037.075.158"	3	"134.205.165.120"	4	"196.037.075.158"	3	"134.205.165.120"
1998-06-2416:53:06	2	"172.016.116.044"	10	"192.168.001.010"	9	"172.016.116.044"	10	"192.168.001.010"
1998-06-2413:19:31	1	"172.016.114.169"	2	"134.205.165.120"	2	"172.016.116.194"	2	"134.205.165.120"
1998-06-2414:02:56	1	"197.218.177.069"	2	"207.121.191.072"	4	"172.016.117.132"	2	"209.001.224.012"
1998-06-2413:39:55	1	"172.016.114.168"	2	"038.176.011.051"	4	"172.016.112.207"	2	"209.133.035.165"
1998-06-2412:06:23	1	"196.227.033.189"	2	"195.073.151.050"	3	"172.016.114.148"	2	"195.073.151.050"
1998-06-2412:22:42	2	"197.218.177.069"	2	"135.013.216.191"	3	"172.016.113.105"	3	"135.013.216.191"
1998-06-2412:47:47	1	"196.227.033.189"	3	"139.072.190.030"	3	"172.016.113.105"	3	"139.072.190.030"
1998-06-2409:14:58	1	"192.168.001.020"	2	"207.025.071.145"	4	"172.016.116.194"	2	"207.025.071.145"
1998-06-2409:49:26	1	"172.016.112.149"	1	"196.037.075.158"	6	"172.016.112.149"	1	"199.104.078.003"
1998-06-2412:05:40	1	"195.073.151.050"	4	"205.200.037.091"	6	"172.016.112.194"	4	"205.200.037.091"
1998-06-2418:16:17	6	"192.168.001.010"	2	"134.205.165.120"	6	"192.168.001.010"	5	"172.016.116.044"
1998-06-2419:37:52	1	"172.016.115.087"	1	"206.071.077.228"	2	"172.016.115.087"	1	"206.071.077.228"
1998-06-2417:46:23	5	"192.168.001.010"	4	"192.168.001.010"	5	"192.168.001.010"	4	"192.168.001.010"
1998-06-2416:57:32	2	"172.016.116.044"	10	"192.168.001.010"	10	"172.016.116.044"	10	"192.168.001.010"
1998-06-2417:08:19	2	"172.016.116.044"	10	"192.168.001.010"	10	"172.016.116.044"	10	"192.168.001.010"
1998-06-2417:21:16	3	"192.168.001.010"	6	"192.168.001.010"	5	"172.016.116.201"	6	"192.168.001.010"
1998-06-2414:17:38	1	"172.016.117.111"	1	"199.095.074.090"	2	"172.016.117.111"	1	"208.215.239.071"
1998-06-2414:32:42	1	"172.016.117.111"	2	"172.016.112.207"	5	"135.013.216.191"	2	"208.215.239.071"
1998-06-2416:18:51	5	"197.218.177.069"	11	"192.168.001.010"	11	"172.016.116.044"	11	"192.168.001.010"
1998-06-2413:10:58	1	"197.218.177.069"	2	"208.144.113.029"	5	"197.218.177.069"	2	"208.144.113.029"
1998-06-2413:42:52	1	"172.016.115.005"	3	"192.096.145.004"	4	"172.016.114.169"	3	"192.096.145.004"
1998-06-2414:20:13	2	"197.218.177.069"	2	"208.194.115.053"	3	"194.027.251.021"	3	"172.016.112.194"
1998-06-2411:34:42	1	"195.115.218.108"	2	"195.073.151.050"	4	"172.016.114.169"	2	"197.182.091.233"
1998-06-2411:59:49	1	"172.016.117.052"	3	"203.018.051.047"	3	"172.016.114.169"	3	"203.018.051.047"
1998-06-2412:34:27	1	"172.016.115.087"	2	"137.245.085.134"	3	"172.016.115.087"	2	"137.245.085.134"
1998-06-2408:58:52	6	"197.218.177.069"	3	"134.205.165.120"	6	"197.218.177.069"	6	"172.016.112.207"
1998-06-2409:12:28	810	"207.103.080.104"	45	"172.016.118.060"	810	"207.103.080.104"	45	"172.016.118.080"
1998-06-2409:49:21	1	"172.016.117.103"	1	"172.016.112.194"	2	"172.016.112.149"	1	"199.104.078.003"
1998-06-2416:17:47	3	"172.016.114.148"	15	"192.168.001.010"	15	"172.016.116.044"	15	"192.168.001.010"
1998-06-2416:56:28	2	"172.016.116.044"	5	"192.168.001.010"	5	"172.016.116.044"	5	"192.168.001.010"
1998-06-2418:05:15	2	"172.016.116.044"	6	"192.168.001.010"	6	"172.016.116.044"	6	"192.168.001.010"
1998-06-2414:47:24	1	"172.016.117.132"	3	"204.096.116.009"	3	"172.016.117.132"	3	"204.096.116.009"
1998-06-2415:24:04	15	"197.218.177.069"	1	"172.016.112.194"	15	"197.218.177.069"	11	"172.016.112.194"
1998-06-2415:22:47	1	"172.016.115.005"	2	"136.149.142.178"	2	"172.016.115.005"	2	"136.149.142.178"
1998-06-2414:13:32	1	"197.218.177.069"	4	"207.025.071.145"	6	"172.016.117.132"	4	"207.025.071.145"
1998-06-2413:47:12	1	"172.016.117.052"	4	"207.077.090.013"	5	"196.227.033.189"	4	"207.077.090.013"
1998-06-2413:36:05	1	"172.016.117.052"	2	"206.132.025.071"	2	"172.016.114.207"	2	"206.132.025.071"
1998-06-2411:59:44	1	"194.007.248.153"	2	"203.018.051.047"	2	"194.007.248.153"	2	"203.018.051.047"
1998-06-2412:10:28	6	"172.016.114.148"	4	"172.016.113.204"	11	"195.115.218.108"	9	"197.182.091.233"
1998-06-2413:00:33	1	"196.227.033.189"	2	"160.079.217.102"	4	"172.016.114.168"	2	"204.123.002.075"
1998-06-2409:37:30	1	"172.016.114.168"	2	"195.073.151.050"	3	"172.016.114.148"	2	"195.073.151.050"
1998-06-2411:24:58	1	"196.227.033.189"	1	"172.016.112.194"	4	"172.016.115.005"	2	"192.168.001.010"
1998-06-2411:35:32	1	"172.016.115.087"	2	"197.182.091.233"	9	"196.227.033.189"	3	"197.182.091.233"
1998-06-2417:21:30	2	"172.016.116.044"	9	"192.168.001.010"	8	"172.016.116.044"	9	"192.168.001.010"
1998-06-2418:25:39	6	"192.168.001.010"	4	"192.168.001.010"	6	"192.168.001.010"	6	"172.016.116.044"
1998-06-2419:34:32	1	"172.016.116.044"	3	"131.084.001.031"	3	"172.016.115.087"	3	"131.084.001.031"
1998-06-2417:26:14	2	"172.016.116.044"	6	"192.168.001.010"	6	"172.016.116.044"	6	"192.168.001.010"
1998-06-2417:13:30	2	"172.016.116.044"	7	"192.168.001.010"	7	"172.016.116.044"	7	"192.168.001.010"
1998-06-2417:00:48	2	"172.016.116.044"	6	"192.168.001.010"	6	"172.016.116.044"	6	"192.168.001.010"
1998-06-2414:27:01	22	"172.016.114.148"	3	"205.168.248.010"	22	"172.016.114.148"	23	"194.027.251.021"
1998-06-2414:40:09	1	"172.016.117.132"	2	"205.214.059.221"	2	"172.016.115.005"	2	"205.214.059.221"
1998-06-2415:03:41	1	"172.016.114.207"	3	"206.132.025.071"	4	"172.016.117.111"	3	"206.132.025.071"
1998-06-2411:39:40	4	"197.218.177.069"	2	"204.162.080.136"	4	"197.218.177.069"	4	"172.016.114.169"
1998-06-2413:40:44	1	"172.016.117.132"	2	"038.176.011.051"	4	"172.016.117.132"	2	"204.123.002.107"
1998-06-2414:36:22	1	"194.027.251.021"	2	"209.068.014.202"	3	"172.016.115.234"	2	"209.068.014.202"
1998-06-2412:54:37	1	"196.037.075.158"	1	"207.087.031.072"	5	"172.016.114.168"	2	"172.016.113.084"
1998-06-2415:05:11	1	"196.037.075.158"	3	"134.205.165.120"	6	"196.037.075.158"	3	"195.115.218.108"
1998-06-2411:11:04	1	"172.016.115.005"	2	"172.016.112.149"	4	"172.016.114.050"	3	"172.016.112.149"
1998-06-2411:32:25	24	"172.016.114.148"	2	"172.016.114.148"	24	"172.016.114.148"	19	"197.182.091.233"
1998-06-2412:07:21	1	"192.168.001.010"	2	"208.214.174.076"	3	"172.016.113.084"	2	"208.214.174.076"
1998-06-2408:34:30	1	"172.016.114.148"	1	"194.007.248.153"	2	"197.218.177.069"	1	"197.182.091.233"
1998-06-2409:00:36	1	"172.016.116.194"	4	"209.001.224.012"	4	"172.016.116.194"	4	"209.001.224.012"
1998-06-2409:56:42	1	"172.016.117.103"	2	"199.104.078.003"	4	"172.016.113.204"	2	"207.229.128.058"
1998-06-2417:46:17	2	"192.168.001.010"	3	"192.168.001.010"	5	"172.016.116.201"	3	"192.168.001.010"
1998-06-2416:59:08	2	"172.016.116.044"	6	"192.168.001.010"	9	"194.027.251.021"	6	"192.168.001.010"
1998-06-2417:07:08	1	"172.016.117.111"	2	"192.168.001.010"	3	"172.016.117.111"	2	"192.168.001.010"
1998-06-2417:20:18	2	"172.016.116.044"	3	"192.168.001.010"	4	"172.016.114.169"	3	"192.168.001.010"
1998-06-2414:33:09	1	"172.016.117.111"	2	"204.096.116.009"	3	"172.016.117.132"	2	"204.096.116.009"
1998-06-2415:24:03	15	"197.218.177.069"	1	"172.016.112.194"	15	"197.218.177.069"	12	"172.016.112.194"
1998-06-2417:05:36	2	"172.016.116.044"	8	"192.168.001.010"	8	"172.016.116.044"	8	"192.168.001.010"
1998-06-2413:21:38	1	"172.016.113.105"	2	"195.115.218.108"	4	"172.016.113.105"	2	"204.250.200.020"
1998-06-2414:00:47	1	"194.007.248.153"	2	"172.016.112.194"	6	"172.016.114.168"	2	"199.095.074.090"
1998-06-2414:59:08	1	"172.016.113.105"	2	"131.084.001.034"	3	"172.016.113.105"	2	"206.132.025.071"
1998-06-2411:25:25	1	"196.227.033.189"	1	"207.046.130.139"	3	"172.016.115.005"	1	"209.132.059.207"
1998-06-2411:33:44	1	"172.016.114.169"	1	"172.016.112.149"	2	"195.115.218.108"	2	"172.016.112.149"
1998-06-2412:10:24	6	"172.016.114.148"	4	"172.016.113.204"	11	"195.115.218.108"	9	"197.182.091.233"
1998-06-2408:53:03	2	"197.218.177.069"	1	"143.231.086.196"	3	"172.016.114.207"	2	"172.016.114.207"
1998-06-2409:27:28	1	"172.016.116.194"	2	"209.003.101.137"	3	"172.016.116.194"	2	"209.166.168.020"
1998-06-2411:10:00	1	"172.016.115.005"	2	"194.027.251.021"	5	"172.016.115.005"	2	"194.027.251.021"
1998-06-2419:43:43	5	"192.168.001.010"	1	"172.016.116.044"	5	"192.168.001.010"	4	"172.016.116.044"
1998-06-2504:54:55	1	"172.016.115.005"	1	"205.168.248.002"	1	"172.016.115.005"	1	"205.168.248.002"
1998-06-2416:58:04	2	"172.016.116.044"	9	"192.168.001.010"	9	"172.016.116.044"	9	"192.168.001.010"
1998-06-2417:09:44	2	"192.168.001.010"	10	"192.168.001.010"	10	"172.016.116.044"	10	"192.168.001.010"
1998-06-2417:21:29	2	"172.016.116.044"	9	"192.168.001.010"	8	"172.016.116.044"	9	"192.168.001.010"
1998-06-2414:32:05	1	"195.073.151.050"	2	"172.016.114.148"	7	"135.013.216.191"	2	"172.016.114.148"
1998-06-2415:24:10	14	"197.218.177.069"	2	"136.149.142.178"	14	"197.218.177.069"	8	"172.016.112.194"
1998-06-2416:13:38	2	"172.016.116.044"	14	"192.168.001.010"	14	"172.016.116.044"	15	"192.168.001.010"
1998-06-2413:00:27	1	"196.227.033.189"	2	"160.079.217.102"	3	"172.016.114.168"	2	"199.183.024.253"
1998-06-2414:02:05	1	"172.016.117.132"	3	"172.016.112.050"	6	"196.227.033.189"	3	"172.016.112.050"
1998-06-2414:57:43	1	"172.016.117.132"	3	"206.132.025.071"	5	"172.016.117.111"	3	"206.132.025.071"
1998-06-2411:27:59	1	"196.227.033.189"	1	"207.046.130.139"	7	"196.227.033.189"	1	"207.046.130.139"
1998-06-2411:49:09	1	"196.227.033.189"	1	"192.168.001.010"	3	"172.016.112.149"	2	"135.013.216.191"
1998-06-2412:15:08	1	"196.037.075.158"	3	"195.115.218.108"	3	"172.016.116.201"	3	"195.115.218.108"
1998-06-2408:41:25	1	"196.037.075.158"	2	"172.016.113.084"	7	"196.037.075.158"	2	"172.016.113.084"
1998-06-2409:33:23	1	"197.182.091.233"	2	"135.008.060.182"	6	"172.016.113.084"	3	"197.182.091.233"
1998-06-2409:52:54	5	"172.016.114.148"	1	"199.050.026.017"	5	"172.016.114.148"	5	"196.227.033.189"
1998-06-2417:37:01	4	"172.016.114.148"	8	"192.168.001.010"	7	"172.016.116.044"	8	"192.168.001.010"
1998-06-2417:50:09	1	"192.168.001.010"	2	"192.168.001.010"	2	"172.016.116.044"	3	"192.168.001.010"
1998-06-2419:10:55	1	"192.168.001.010"	1	"204.071.177.201"	1	"192.168.001.010"	1	"204.071.177.201"
1998-06-2416:47:30	2	"172.016.116.044"	16	"192.168.001.010"	13	"172.016.116.044"	16	"192.168.001.010"
1998-06-2416:44:56	1	"172.016.116.201"	3	"192.168.001.010"	4	"135.008.060.182"	3	"192.168.001.010"
1998-06-2417:10:55	4	"172.016.114.148"	2	"192.168.001.010"	4	"172.016.114.148"	4	"197.218.177.069"
1998-06-2415:23:06	4	"197.218.177.069"	2	"136.149.142.178"	4	"197.218.177.069"	4	"172.016.112.194"
1998-06-2415:49:05	1	"172.016.116.194"	2	"196.037.075.158"	4	"172.016.114.148"	2	"208.194.115.053"
1998-06-2415:12:25	1	"172.016.114.169"	3	"207.025.071.027"	3	"172.016.113.105"	3	"207.025.071.027"
1998-06-2412:29:29	1	"194.027.251.021"	3	"167.008.029.016"	3	"172.016.114.168"	3	"167.008.029.016"
1998-06-2414:02:00	1	"196.227.033.189"	2	"207.077.090.013"	4	"172.016.117.132"	2	"208.134.241.217"
1998-06-2413:40:50	1	"172.016.114.207"	2	"204.123.002.107"	4	"172.016.117.132"	2	"207.149.188.236"
1998-06-2410:17:56	3	"197.218.177.069"	2	"207.046.148.250"	4	"172.016.117.103"	3	"172.016.112.050"
1998-06-2411:16:21	1	"197.182.091.233"	2	"199.183.022.002"	4	"172.016.114.148"	2	"199.183.022.002"
1998-06-2411:49:59	1	"196.227.033.189"	2	"135.013.216.191"	2	"172.016.115.005"	2	"209.166.168.020"
1998-06-2408:42:55	1	"172.016.114.207"	30	"209.001.224.012"	32	"172.016.114.207"	30	"209.001.224.012"
1998-06-2408:45:10	1	"197.182.091.233"	4	"129.128.004.241"	8	"172.016.113.204"	4	"129.128.004.241"
1998-06-2409:15:17	1	"197.218.177.069"	1	"172.016.113.204"	3	"172.016.116.194"	1	"208.215.239.071"
1998-06-2500:27:44	1	"172.016.116.194"	1	"194.159.251.175"	2	"172.016.116.194"	1	"207.206.205.228"
1998-06-2420:13:29	1	"172.016.115.087"	3	"209.049.066.074"	3	"172.016.115.087"	3	"209.049.066.074"
1998-06-2419:26:20	3	"192.168.001.010"	1	"172.016.116.044"	3	"192.168.001.010"	3	"172.016.116.044"
1998-06-2420:59:06	1	"192.168.001.001"	1	"192.168.001.001"	1	"192.168.001.005"	1	"204.238.155.093"
1998-06-2414:55:35	5	"197.218.177.069"	2	"206.252.029.043"	5	"197.218.177.069"	5	"172.016.112.207"
1998-06-2417:53:56	1	"172.016.116.201"	2	"192.168.001.010"	2	"172.016.116.044"	2	"192.168.001.010"
1998-06-2417:38:31	2	"172.016.116.044"	6	"192.168.001.010"	6	"172.016.116.044"	6	"192.168.001.010"
1998-06-2412:54:31	1	"172.016.114.169"	1	"207.211.106.040"	4	"172.016.114.168"	2	"172.016.113.084"
1998-06-2414:53:01	1	"172.016.117.132"	3	"209.025.045.061"	4	"172.016.117.132"	3	"209.025.045.061"
1998-06-2414:29:29	1	"172.016.114.207"	2	"134.205.165.120"	4	"194.007.248.153"	2	"196.227.033.189"
1998-06-2411:54:40	1	"172.016.114.169"	2	"135.013.216.191"	2	"172.016.114.169"	2	"135.013.216.191"
1998-06-2412:17:56	18	"197.218.177.069"	3	"135.013.216.191"	18	"197.218.177.069"	18	"172.016.114.207"
1998-06-2412:20:06	1	"172.016.113.105"	2	"172.016.114.050"	3	"172.016.117.052"	2	"172.016.114.050"
1998-06-2409:47:51	1	"192.168.001.010"	2	"198.011.057.054"	4	"172.016.112.020"	2	"198.011.057.054"
1998-06-2410:06:18	1	"172.016.117.103"	1	"209.001.224.012"	2	"172.016.117.103"	1	"209.001.224.012"
1998-06-2411:53:39	1	"196.227.033.189"	3	"209.008.150.031"	6	"196.227.033.189"	3	"209.008.150.031"
1998-06-2409:09:01	1	"172.016.114.168"	3	"136.149.142.178"	3	"172.016.114.168"	3	"136.149.142.178"
1998-06-2409:11:16	6	"197.218.177.069"	2	"207.158.198.172"	6	"197.218.177.069"	6	"172.016.112.149"
1998-06-2409:45:36	3	"172.016.114.148"	2	"172.016.114.148"	5	"172.016.114.148"	3	"195.073.151.050"
1998-06-2423:37:28	1	"192.168.001.010"	1	"172.016.112.020"	2	"192.168.001.010"	1	"206.079.179.170"
1998-06-2423:02:44	1	"192.168.001.010"	2	"192.168.001.020"	4	"192.168.001.010"	2	"192.168.001.020"
1998-06-2415:44:09	2	"172.016.116.044"	6	"192.168.001.010"	6	"172.016.116.044"	6	"192.168.001.010"
1998-06-2415:59:20	3	"197.218.177.069"	2	"209.001.112.251"	4	"172.016.116.044"	3	"172.016.114.207"
1998-06-2417:31:59	3	"192.168.001.010"	5	"192.168.001.010"	5	"172.016.116.044"	5	"192.168.001.010"
1998-06-2415:07:11	1	"172.016.115.005"	3	"155.223.064.002"	4	"172.016.115.005"	3	"155.223.064.002"
1998-06-2415:30:55	4	"197.218.177.069"	2	"209.060.043.230"	4	"197.218.177.069"	4	"172.016.113.204"
1998-06-2415:54:18	4	"172.016.114.148"	4	"192.168.001.010"	4	"172.016.116.044"	4	"197.218.177.069"
1998-06-2414:21:59	1	"194.027.251.021"	2	"128.192.252.005"	4	"196.227.033.189"	2	"172.016.113.204"
1998-06-2414:08:51	1	"172.016.117.103"	3	"137.245.085.134"	6	"172.016.117.132"	3	"137.245.085.134"
1998-06-2413:46:18	1	"172.016.117.132"	2	"207.077.090.013"	5	"172.016.113.105"	2	"207.077.090.013"
1998-06-2413:33:10	1	"172.016.114.169"	2	"156.046.046.226"	6	"172.016.114.168"	2	"156.046.046.226"
1998-06-2413:54:40	1	"172.016.114.168"	3	"196.037.075.158"	6	"172.016.114.207"	4	"172.016.114.207"
1998-06-2414:20:04	1	"194.027.251.021"	2	"208.194.115.053"	3	"194.027.251.021"	2	"208.194.115.053"
1998-06-2410:44:40	2	"172.016.114.148"	2	"135.008.060.182"	3	"172.016.113.204"	3	"196.227.033.189"
1998-06-2411:08:43	1	"172.016.115.087"	2	"205.181.112.065"	5	"172.016.115.005"	2	"209.001.112.251"
1998-06-2411:37:08	4	"197.218.177.069"	2	"192.151.011.032"	4	"197.218.177.069"	4	"172.016.114.168"
1998-06-2409:01:22	1	"172.016.116.194"	2	"137.245.085.134"	3	"172.016.114.207"	2	"137.245.085.134"
1998-06-2409:24:51	1	"172.016.117.103"	1	"194.017.055.211"	1	"172.016.117.103"	1	"207.025.071.037"
1998-06-2409:51:36	6	"197.218.177.069"	3	"209.043.240.171"	6	"197.218.177.069"	6	"172.016.113.084"
1998-06-2423:38:38	1	"192.168.001.001"	2	"204.141.025.078"	2	"172.016.115.087"	2	"204.141.025.078"
1998-06-2414:59:56	4	"172.016.114.148"	5	"206.132.025.071"	5	"197.218.177.069"	7	"197.218.177.069"
1998-06-2416:21:59	2	"172.016.116.044"	13	"192.168.001.010"	13	"172.016.116.044"	13	"192.168.001.010"
1998-06-2417:00:51	2	"172.016.116.044"	6	"192.168.001.010"	6	"172.016.116.044"	6	"192.168.001.010"
1998-06-2412:14:58	1	"172.016.116.201"	2	"195.115.218.108"	3	"172.016.116.201"	2	"205.181.112.065"
1998-06-2412:46:54	1	"172.016.114.168"	3	"192.168.001.010"	4	"172.016.112.020"	3	"192.168.001.010"
1998-06-2412:58:07	1	"192.168.001.001"	3	"160.079.217.102"	7	"172.016.114.169"	3	"197.182.091.233"
1998-06-2411:36:04	1	"172.016.115.005"	1	"130.207.244.026"	3	"172.016.115.005"	1	"209.067.183.024"
1998-06-2411:51:27	1	"194.007.248.153"	2	"172.016.113.105"	2	"197.182.091.233"	2	"172.016.113.105"
1998-06-2412:03:45	2	"197.218.177.069"	2	"135.013.216.191"	5	"172.016.113.204"	3	"135.013.216.191"
1998-06-2409:03:16	1	"196.037.075.158"	2	"172.016.114.168"	6	"196.037.075.158"	2	"172.016.114.168"
1998-06-2410:15:11	1	"196.037.075.158"	2	"205.216.163.092"	7	"194.027.251.021"	2	"205.216.163.092"
1998-06-2411:27:51	1	"196.227.033.189"	1	"172.016.114.207"	2	"196.227.033.189"	1	"192.168.001.010"
1998-06-2423:42:36	1	"172.016.116.194"	2	"207.090.176.012"	2	"172.016.116.194"	2	"207.090.176.012"
1998-06-2504:45:12	1	"172.016.115.005"	1	"131.084.001.031"	2	"172.016.115.005"	1	"136.149.142.178"
1998-06-2423:36:17	1	"172.016.115.087"	2	"204.034.175.079"	2	"172.016.115.005"	2	"204.034.175.079"
1998-06-2416:59:34	2	"172.016.116.044"	6	"192.168.001.010"	9	"194.027.251.021"	6	"192.168.001.010"
1998-06-2416:59:47	14	"197.218.177.069"	8	"192.168.001.010"	14	"197.218.177.069"	14	"172.016.113.204"
1998-06-2417:32:29	3	"192.168.001.010"	2	"172.016.114.050"	3	"192.168.001.010"	3	"172.016.116.044"
1998-06-2413:40:57	1	"172.016.117.132"	2	"207.149.188.236"	5	"172.016.117.132"	2	"207.149.188.236"
1998-06-2414:24:53	1	"195.115.218.108"	3	"209.061.101.125"	7	"195.115.218.108"	3	"209.061.101.125"
1998-06-2416:00:30	6	"197.218.177.069"	2	"204.029.144.200"	7	"197.218.177.069"	7	"172.016.112.149"
1998-06-2413:18:13	1	"194.007.248.153"	4	"192.168.001.010"	6	"172.016.114.169"	4	"192.168.001.010"
1998-06-2413:28:27	4	"197.218.177.069"	2	"134.205.165.120"	4	"197.218.177.069"	5	"172.016.112.050"
1998-06-2413:53:09	1	"172.016.114.207"	2	"206.132.025.071"	7	"172.016.114.207"	2	"207.025.071.027"
1998-06-2411:20:27	1	"194.027.251.021"	1	"172.016.114.169"	2	"196.037.075.158"	1	"206.019.042.011"
1998-06-2412:42:32	1	"196.037.075.158"	3	"130.219.034.100"	4	"172.016.115.087"	3	"130.219.034.100"
1998-06-2412:50:52	1	"172.016.114.168"	2	"169.132.014.002"	3	"172.016.114.168"	2	"207.077.090.013"
1998-06-2409:43:08	1	"172.016.114.148"	2	"209.008.150.031"	2	"195.073.151.050"	2	"209.008.150.031"
1998-06-2409:50:23	1	"172.016.113.204"	2	"172.016.114.050"	5	"172.016.112.149"	2	"172.016.114.050"
1998-06-2411:16:24	1	"197.182.091.233"	2	"195.115.218.108"	3	"197.182.091.233"	2	"199.183.022.002"
1998-06-2418:48:58	2	"192.168.001.010"	2	"192.168.001.010"	2	"192.168.001.010"	2	"192.168.001.010"
1998-06-2418:13:17	5	"192.168.001.010"	4	"192.168.001.010"	5	"192.168.001.010"	5	"172.016.116.044"
1998-06-2416:53:09	2	"172.016.116.044"	9	"192.168.001.010"	8	"172.016.116.044"	9	"192.168.001.010"
1998-06-2417:42:39	4	"192.168.001.010"	1	"207.171.129.136"	4	"192.168.001.010"	4	"172.016.116.044"
1998-06-2417:38:41	2	"172.016.116.044"	9	"192.168.001.010"	9	"172.016.116.044"	9	"192.168.001.010"
1998-06-2415:13:53	1	"194.027.251.021"	1	"172.016.113.105"	4	"194.007.248.153"	1	"209.003.101.137"
1998-06-2415:25:28	1	"172.016.113.204"	2	"172.016.114.207"	8	"194.027.251.021"	3	"195.115.218.108"
1998-06-2415:42:39	2	"172.016.116.044"	9	"192.168.001.010"	9	"172.016.116.044"	9	"192.168.001.010"
1998-06-2413:18:04	1	"172.016.114.169"	4	"192.168.001.010"	5	"172.016.114.169"	4	"192.168.001.010"
1998-06-2413:52:05	1	"172.016.117.132"	3	"206.039.184.002"	4	"172.016.117.132"	3	"206.039.184.002"
1998-06-2413:56:58	1	"172.016.115.005"	3	"172.016.114.207"	3	"172.016.115.005"	3	"172.016.114.207"
